Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A1G4T15,420,6.0,6.142899941788163e-05,4.0
E1A1G4T16,426,6.0,6.0606150507202494e-05,4.0
E1A1G4T17,417,6.0,5.834038145449749e-05,7.0
E1A1G4T18,429,6.0,6.070395082924064e-05,10.0
E1A1G4T19,441,6.0,6.282973702859151e-05,4.0
E1A1G4T2,434,6.0,6.693767100733261e-05,4.0
E1A1G4T20,443,6.0,6.94931244341133e-05,4.0
E1A1G4T21,463,6.0,6.0638792449925976e-05,4.0
E1A1G4T22,470,6.0,7.442399333189165e-05,67.0
E1A1G4T23,404,6.0,6.310604364267281e-05,4.0
E1A1G4T24,391,6.0,5.536691022161054e-05,4.0
E1A1G4T25,421,6.0,6.175928639806026e-05,5.0
E1A1G4T26,416,6.0,5.683983289245564e-05,5.0
E1A1G4T27,411,6.0,5.87218539601723e-05,10.0
E1A1G4T28,440,6.0,6.173199374942477e-05,6.0
E1A1G4T29,373,6.0,4.1969628968412174e-05,6.0
E1A1G4T3,444,6.0,6.546314872076893e-05,6.0
E1A1G4T30,421,6.0,6.023450938341016e-05,5.0
E1A1G4T31,416,6.0,5.950971525528487e-05,6.0
E1A1G4T32,458,6.0,6.861664654706017e-05,3.0
E1A1G4T33,401,6.0,5.917440356397561e-05,3.0
E1A1G4T34,449,6.0,6.192275944856469e-05,3.0
E1A1G4T35,432,6.0,6.457505780054182e-05,5.0
E1A1G4T36,475,6.0,7.806307186822279e-05,20.0
E1A1G4T37,406,6.0,6.272238774007375e-05,3.0
E1A1G4T38,415,6.0,6.0534419140400833e-05,3.0
E1A1G4T39,416,6.0,5.81319207758834e-05,3.0
E1A1G4T4,438,6.0,6.223249959826096e-05,3.0
E1A1G4T40,417,6.0,5.993650360707102e-05,4.0
E1A1G4T5,466,6.0,6.206084053577802e-05,3.0
E1A1G4T6,382,6.0,5.56953956779476e-05,6.0
E1A1G4T7,415,6.0,6.037607633702552e-05,3.0
E1A1G4T8,410,6.0,6.245466497965243e-05,6.0
E1A1G4T9,430,6.0,6.018405769197809e-05,3.0
E1A1G6T1,441,6.0,0.000478918227806,3.0
E1A1G6T10,477,6.0,0.0005015262411021,15.0
E1A1G6T11,470,6.0,0.0005114839779705,19.0
E1A1G6T12,406,6.0,0.0004360100746241,5.0
E1A1G6T13,402,6.0,0.0003991519264508,4.0
E1A1G6T14,409,6.0,0.0004127339878794,10.0
E1A1G6T15,441,6.0,0.0004827148820101,65.0
E1A1G6T16,394,6.0,0.0004409707381377,6.0
E1A1G6T17,398,6.0,0.0004342480225923,3.0
E1A1G6T18,441,6.0,0.0004408422734751,5.0
E1A1G6T19,399,6.0,0.0003896294080931,7.0
E1A1G6T2,424,6.0,0.0004409511685278,4.0
E1A1G6T20,436,6.0,0.000449838973508,3.0
E1A1G6T21,430,6.0,0.0004600130234132,4.0
E1A1G6T22,413,6.0,0.000442112984252,5.0
E1A1G6T23,416,6.0,0.0004583681767453,16.0
E1A1G6T24,444,6.0,0.000478443420699,3.0
E1A1G6T25,448,6.0,0.0004953334847862,4.0
E1A1G6T26,434,6.0,0.0004966243211373,70.0
E1A1G6T27,443,6.0,0.0004629569206474,5.0
E1A1G6T28,414,6.0,0.0003995000159047,12.0
E1A1G6T29,451,6.0,0.000489822706249,14.0
E1A1G6T3,392,6.0,0.0003834563773319,7.0
E1A1G6T30,417,6.0,0.0004513998555534,4.0
E1A1G6T31,459,6.0,0.000517614540308,14.0
E1A1G6T32,391,6.0,0.0003777201663151,7.0
